entity_id,entity_kind,label_text,label_norm,label_type,language,source
OCC_d6d07c8d8ce0,occupation,Information and Communications Technology Professionals,information and communications technology professionals,preferred,en,ISCO
OCC_4149bd1bbf1b,occupation,Information and Communications Technicians,information and communications technicians,preferred,en,ISCO
OCC_0343b7108f76,occupation,Software and Applications Developers and Analysts,software and applications developers and analysts,preferred,en,ISCO
OCC_9714e20ff583,occupation,Database and Network Professionals,database and network professionals,preferred,en,ISCO
OCC_94fe8f91f6a8,occupation,Information and Communications Technology Operations and User Support Technicians,information and communications technology operations and user support technicians,preferred,en,ISCO
OCC_90f8460e826f,occupation,Telecommunications and Broadcasting Technicians,telecommunications and broadcasting technicians,preferred,en,ISCO
OCC_f7d6c0b45919,occupation,Systems Analysts,systems analysts,preferred,en,ISCO
OCC_e7f39b2bf662,occupation,Software Developers,software developers,preferred,en,ISCO
OCC_46eb90a6f0f3,occupation,Web and Multimedia Developers,web and multimedia developers,preferred,en,ISCO
OCC_ba356122f8a5,occupation,Applications Programmers,applications programmers,preferred,en,ISCO
OCC_b1fcf8e1ad43,occupation,Software and Applications Developers and Analysts Not Elsewhere Classified,software and applications developers and analysts not elsewhere classified,preferred,en,ISCO
OCC_438689ba7681,occupation,Database Designers and Administrators,database designers and administrators,preferred,en,ISCO
OCC_b53bbd7b9fd5,occupation,Systems Aministrators,systems aministrators,preferred,en,ISCO
OCC_2fd5072bedbe,occupation,Computer Network Professionals,computer network professionals,preferred,en,ISCO
OCC_a8c29a3b5a18,occupation,Database and Network Professionals Not Elsewhere Classified,database and network professionals not elsewhere classified,preferred,en,ISCO
OCC_2de9a6c386bc,occupation,Information and Communications Technology Operations Technicians,information and communications technology operations technicians,preferred,en,ISCO
OCC_77edcdb23a49,occupation,Information and Communications Technology User Support Technicians,information and communications technology user support technicians,preferred,en,ISCO
OCC_5bdaba98cc31,occupation,Computer Network and Systems Technicians,computer network and systems technicians,preferred,en,ISCO
OCC_7f0cc11c2a49,occupation,Web Technicians,web technicians,preferred,en,ISCO
OCC_26254ee56561,occupation,Broadcasting and Audio-visual Technicians,broadcasting and audio-visual technicians,preferred,en,ISCO
OCC_9da9ccc54bc6,occupation,Telecommunications Engineering Technicians,telecommunications engineering technicians,preferred,en,ISCO
OCC_a0cecf937326,occupation,ICT security administrator,ict security administrator,preferred,en,ESCO
OCC_a0cecf937326,occupation,administrateur sécurité informatique/administratrice sécurité informatique,administrateur securite informatique/administratrice securite informatique,preferred,fr,ESCO
OCC_a0cecf937326,occupation,CISO,ciso,alt,en,ESCO
OCC_a0cecf937326,occupation,IT security administrator,it security administrator,alt,en,ESCO
OCC_a0cecf937326,occupation,information security administrator,information security administrator,alt,en,ESCO
OCC_a0cecf937326,occupation,ICT security administrators,ict security administrators,alt,en,ESCO
OCC_a0cecf937326,occupation,network security administrator,network security administrator,alt,en,ESCO
OCC_a0cecf937326,occupation,system security administrator,system security administrator,alt,en,ESCO
OCC_a0cecf937326,occupation,responsable de la sécurité des technologies de l'information et de la communication,responsable de la securite des technologies de l'information et de la communication,alt,fr,ESCO
OCC_a0cecf937326,occupation,responsable de la sécurité des TIC,responsable de la securite des tic,alt,fr,ESCO
OCC_a0cecf937326,occupation,directrice de la sécurité de la technologie de l'information et de la communication,directrice de la securite de la technologie de l'information et de la communication,alt,fr,ESCO
OCC_a0cecf937326,occupation,administratrice sécurité informatique,administratrice securite informatique,alt,fr,ESCO
OCC_a0cecf937326,occupation,gestionnaire sécurité informatique,gestionnaire securite informatique,alt,fr,ESCO
