entity_id_a,source_a,entity_id_b,source_b,relation,confidence,method,validated,merge,notes
OCC_a0cecf937326,ESCO,OCC_f2a71e8a4b5a,NOC,skos:closeMatch,0.7955,embed:0.80,auto,,ICT security administrator <> Cybersecurity specialists
OCC_a0cecf937326,ESCO,OCC_4060d96748a0,NOC,skos:closeMatch,0.732,embed:0.73,auto,,ICT security administrator <> Information systems specialists
OCC_a0cecf937326,ESCO,OCC_77dfa03404a8,NOC,skos:closeMatch,0.7194,embed:0.72,auto,,ICT security administrator <> Computer and information systems managers
OCC_a0cecf937326,ESCO,OCC_0553eba7a386,NOC,skos:closeMatch,0.7101,embed:0.71,auto,,ICT security administrator <> Information systems testing technicians
OCC_a0cecf937326,ESCO,OCC_3d3f23f196d1,NOC,skos:closeMatch,0.701,embed:0.70,auto,,ICT security administrator <> Database analysts and data administrators
OCC_6b1c7257ba1b,ESCO,OCC_11ba48109f61,NOC,skos:closeMatch,0.7736,embed:0.77,auto,,software analyst <> Software developers and programmers
OCC_6b1c7257ba1b,ESCO,OCC_98f63450c5da,NOC,skos:closeMatch,0.85,alt_match+embed:0.75,auto,,software analyst <> Computer systems developers and programmers
OCC_6b1c7257ba1b,ESCO,OCC_0553eba7a386,NOC,skos:closeMatch,0.7538,embed:0.75,auto,,software analyst <> Information systems testing technicians
OCC_6b1c7257ba1b,ESCO,OCC_7892d9c0b620,NOC,skos:closeMatch,0.7511,embed:0.75,auto,,software analyst <> Software engineers and designers
OCC_6b1c7257ba1b,ESCO,OCC_4060d96748a0,NOC,skos:closeMatch,0.7247,embed:0.72,auto,,software analyst <> Information systems specialists
OCC_d1c91c3f5320,ESCO,OCC_11ba48109f61,NOC,skos:relatedMatch,0.699,embed:0.70,auto,,performance video operator <> Software developers and programmers
OCC_d1c91c3f5320,ESCO,OCC_67a5290e6732,NOC,skos:relatedMatch,0.6257,embed:0.63,auto,,performance video operator <> Web developers and programmers
OCC_d1c91c3f5320,ESCO,OCC_98f63450c5da,NOC,skos:relatedMatch,0.6234,embed:0.62,auto,,performance video operator <> Computer systems developers and programmers
OCC_d1c91c3f5320,ESCO,OCC_2e1e466b0505,NOC,skos:relatedMatch,0.6192,embed:0.62,auto,,performance video operator <> Computer engineers (except software engineers and designers)
OCC_d1c91c3f5320,ESCO,OCC_9111ae8af624,NOC,skos:relatedMatch,0.6153,embed:0.62,auto,,performance video operator <> Web designers
OCC_535421ae1e2c,ESCO,OCC_7892d9c0b620,NOC,skos:closeMatch,0.7766,embed:0.78,auto,,integration engineer <> Software engineers and designers
OCC_535421ae1e2c,ESCO,OCC_2e1e466b0505,NOC,skos:closeMatch,0.7754,embed:0.78,auto,,integration engineer <> Computer engineers (except software engineers and designers)
OCC_535421ae1e2c,ESCO,OCC_0553eba7a386,NOC,skos:closeMatch,0.7543,embed:0.75,auto,,integration engineer <> Information systems testing technicians
OCC_535421ae1e2c,ESCO,OCC_98f63450c5da,NOC,skos:closeMatch,0.7403,embed:0.74,auto,,integration engineer <> Computer systems developers and programmers
