task,entity_id,label,output,reason,score
desc,UOCC_38d89aa3c2fa,Consultant / pre-sales consultant,professional providing technical expertise to clients or prospects.,nli_off_topic,0.083
desc,UOCC_016c22d6c92d,Head of IT studies and applications,ISCO 2514 IT Manager,nli_off_topic,0.112
desc,UOCC_9b7a5a0a7869,Engineer / Engineer Cybersecurity Datacenter,"Applies engineering principles to design, develop, and maintain secure datacenter infrastructure systems.",nli_off_topic,0.142
desc,UOCC_a7a228eff141,Analyst Designer / Computer Designer,ISCO 2511 occupation encompasses computer systems design and analysis roles.,nli_off_topic,0.431
desc,UOCC_dfe6f7cd4960,Head / Project Manager TMA - Third Maintenance Application,Head/Project Manager TMA is responsible for overseeing maintenance applications in Information Systems.,nli_off_topic,0.019
desc,UOCC_1dae8072961e,Head of IT production,ISCO 2522 oversees IT operations and production teams in an organization.,nli_off_topic,0.102
desc,USKL_da44ccc8d01c,Apple iWork Keynote,Skill involves creating presentations using Apple's Keynote software.,nli_off_topic,0.029
desc,USKL_98140f132cf1,Apple iWork Numbers,Skill involves using Apple's spreadsheet application Numbers for data analysis and presentation.,nli_off_topic,0.023
desc,USKL_a03ebc6d68ec,Apple iWork Pages,Skill: Using Apple's word processing software Pages,nli_off_topic,0.141
desc,USKL_7d057f974697,Canu,Canu is a software tool for analyzing metagenomic sequencing data,nli_off_topic,0.372
desc,USKL_1b52e32aedf7,Customer Information Control System (CICS),IBM mainframe transaction processing software system.,nli_off_topic,0.334
desc,USKL_76e0c76bc437,Extensible markup language XML,XML is a markup language for creating standardized human-readable data formats.,nli_off_topic,0.283
desc,USKL_76e0c76bc437,Extensible markup language XML,XML is a markup language for creating standardized human-readable data formats.,nli_off_topic,0.283
desc,USKL_76e0c76bc437,Extensible markup language XML,XML is a markup language for creating standardized human-readable data formats.,nli_off_topic,0.283
desc,USKL_76ecbbdba046,Hewlett Packard HP-UX,skill: administering and developing software for HP-UX operating system,nli_off_topic,0.234
desc,USKL_490b179af86a,Langlais Computer Consultants CalMan,Skill involves using CalMan for managing IT service requests and tickets,nli_off_topic,0.388
desc,USKL_a7b1a53306ca,Performance Solutions Technology ManagePro,Skill involves managing performance solutions technology within broader IT domains.,nli_off_topic,0.035
desc,USKL_a7b1a53306ca,Performance Solutions Technology ManagePro,Skill involves managing performance solutions technology within IT domains.,nli_off_topic,0.031
desc,USKL_a7b1a53306ca,Performance Solutions Technology ManagePro,Skill involves managing performance solutions technology within IT domains.,nli_off_topic,0.031
desc,USKL_bd4d7bbb306b,Progress OpenEdge Fathom Replication software,Skill involves configuring and maintaining OpenEdge ABL replication software using Fathom Replication in a development environment.,nli_off_topic,0.264
desc,USKL_8473222962d8,Progress WebSpeed Workshop,Skill related to organizing and facilitating workshops on improving web page loading speeds for developers and designers.,nli_off_topic,0.033
desc,USKL_8473222962d8,Progress WebSpeed Workshop,Skill for training in optimizing web applications using Progress WebSpeed technology.,nli_off_topic,0.186
desc,USKL_8473222962d8,Progress WebSpeed Workshop,Skill for training in optimizing web applications using Progress WebSpeed technology.,nli_off_topic,0.186
desc,USKL_3ebd15ab8dfa,Shell Script,scripting language executed by Unix-like operating systems' shells,nli_off_topic,0.415
desc,USKL_ef5bac0d7520,StataCorp Stata,Statistical software package used in research and data analysis,nli_off_topic,0.059
desc,USKL_924b61d17b16,The MathWorks MATLAB,Skill: Proficiency in using MATLAB for programming and software development tasks.,nli_off_topic,0.165
desc,USKL_c390e4591971,Access management software,Skill involves configuring and managing access controls using specialized software tools in programming and software development domains.,nli_off_topic,0.24
desc,USKL_eaa45421b85d,Blink,Blink is a term often used in cybersecurity to describe rapid successive attacks on multiple systems.,nli_off_topic,0.097
desc,USKL_eaa45421b85d,Blink,Blink is a term often used colloquially to describe a brief interruption in network connectivity or service.,nli_off_topic,0.057
desc,USKL_eaa45421b85d,Blink,Blink is a term often used colloquially to describe a brief interruption in network connectivity or service.,nli_off_topic,0.057
desc,USKL_7e64de04c960,Cascading style sheets CSS,CSS is a stylesheet language used in web development to describe the presentation of a web page.,nli_off_topic,0.016
desc,USKL_7e64de04c960,Cascading style sheets CSS,CSS is a stylesheet language used for describing the presentation of a web document.,nli_off_topic,0.018
desc,USKL_7e64de04c960,Cascading style sheets CSS,CSS is a stylesheet language used for describing the presentation of a web document.,nli_off_topic,0.018
desc,USKL_4f1c599f7f2a,Distributed component object model DCOM software,DCOM software development involves creating distributed applications using COM objects across a network.,nli_off_topic,0.28
desc,USKL_4f1c599f7f2a,Distributed component object model DCOM software,DCOM software enables distributed object computing using COM technology in Windows environments.,nli_off_topic,0.414
desc,USKL_4f1c599f7f2a,Distributed component object model DCOM software,DCOM software enables distributed object computing using COM technology in Windows environments.,nli_off_topic,0.414
desc,USKL_c43c5d295d10,Healthcare common procedure coding system HCPCS,Healthcare common procedure coding system HCPCS is unrelated to programming and software development.,nli_off_topic,0.251
desc,USKL_c4c275443042,Job Control Language (JCL),A programming language for submitting jobs to mainframe systems.,nli_off_topic,0.297
desc,USKL_da84fdd61432,OpenAI ChatGPT,Skill: Generating conversational text using AI models like ChatGPT,nli_off_topic,0.008
desc,USKL_345fadbf9f29,Oracle Java 2 Platform Enterprise Edition J2EE,Skill involves developing enterprise applications using Oracle's Java platform and related technologies for databases and data management.,nli_off_topic,0.144
desc,USKL_b2a9033bede4,Oracle JavaServer Pages JSP,Skill involves writing server-side Java code for dynamic web pages using JSP technology in database and data management domains.,nli_off_topic,0.003
desc,USKL_239bcfb7d5f4,Oracle PeopleSoft Financials,Skill involves managing and analyzing financial data using Oracle PeopleSoft applications within databases and data management domains.,nli_off_topic,0.406
desc,USKL_c76a9e184e1d,Oracle Primavera Enterprise Project Portfolio Management,It is a project portfolio management tool using Oracle's database technology.,nli_off_topic,0.036
desc,USKL_72b057f910a7,Personal computer diagnostic software,Skill involves using diagnostic tools to troubleshoot personal computers programmatically.,nli_off_topic,0.157
desc,USKL_fa62ae250c6d,SAP Master Data Management MDM,Skill involves managing and integrating master data across SAP systems for consistency and accuracy.,nli_off_topic,0.078
desc,USKL_d6ed1cb953e3,Systems and application deployment and migration software,Skill involves deploying and migrating software systems using specialized deployment and migration software tools.,nli_off_topic,0.462
desc,USKL_96eb6f46f10d,UNIX Shell,command-line interface scripting in Unix-like systems software development skill.,nli_off_topic,0.028
desc,USKL_477804e11345,Voice over internet protocol VoIP system software,Skill involves configuring and maintaining VoIP systems within network infrastructure.,nli_off_topic,0.028
desc,USKL_de94aa247b7c,Allscripts Professional EHR,Skill involves using Allscripts software for Electronic Health Records in healthcare settings.,nli_off_topic,0.013
