unified_id,primary_label_en,primary_label_fr,alt_labels_en,alt_labels_fr,hard_soft,it_subtype,sources,member_entity_ids,wikidata_qid,wikidata_url,wikidata_description,description,description_source
USKL_d60a48ca5423,set up consumer electronics,configurer des appareils électroniques grand public,setting up consumer electronics | install consumer electronics | install electronics equipment | set up electronics,,hard,hardware_embedded,ESCO,SKL_33d71f957fb2,,,,"Connect electronic devices, such as TVs, audio and video equipment and cameras, to the electricity network and perform electrical bonding to avoid dangerous potential differences. Test the installation for proper functioning.",source
USKL_161c776a1571,musical theory,théorie de la musique,musical philosophy | music theory | musical science | musical principles | theory of music | musical system,Theorie de la musique,hard,knowledge_general,ESCO,SKL_26274ee028a7,Q193544,https://www.wikidata.org/wiki/Q193544,study of the theoretical aspects of music and its notation,The body of interrelated concepts that constitutes the theoretical background of music.,source
USKL_c19dba4f4f9e,estimate duration of work,évaluer la durée de travail,time estimation of work,évaluer la durée de la prestation de travail | jauger la durée de travail | évaluer la durée du travail | estimer la durée de travail | prévoir la durée de travail | anticiper la durée de travail,hard,other_hard,ESCO,SKL_33a22f201b0d,,,,Produce accurate calculations on time necessary to fulfil future technical tasks based on past and present information and observations or plan the estimated duration of individual tasks in a given project.,source
USKL_80d45ff85d6d,manage schedule of tasks,gérer un planning de tâches,task scheduling | organise tasks | schedule tasks | organize tasks | task planning | assign and schedule tasks | task management | manage task scheduling | plan tasks | manage tasking,,hard,other_hard,ESCO,SKL_621054dadc59,,,,"Maintain an overview of all the incoming tasks in order to prioritise the tasks, plan their execution, and integrate new tasks as they present themselves.",source
USKL_c68a5506b14a,analyse a script,analyser un scénario,analyze a script | evaluate script | review script | look over script | analysing script | analyse scripts | study script,,hard,programming_languages,ESCO,SKL_2c605440b06a,,,,"Break down a script by analysing the dramaturgy, form, themes and structure of a script. Conduct relevant research if necessary.",source
USKL_7ba8704abcaa,analyse pipeline database information,analyser les données de la base de données sur les canalisations de transport,evaluate pipeline database information | perform analysis on pipeline database information | analyze pipeline database information | evaluate information in pipeline databases | retrieve and assess information from pipeline company database | conduct analysis on pipeline database information | retrieve and analyse information from pipeline company database | analyse information in pipeline databases | assess information in pipeline databases | assess pipeline database information,analyser les données de la base de données sur les pipelines,hard,data_databases,ESCO,SKL_0c20c36ec856,,,,"Retrieve and analyse different types of information extracted from the databases of pipelines companies. Analyse information such as risks, project management KPIs (key performance indicators), goods transportation times, and document back-up processes.",source
USKL_bd2ab9c0507a,maintain system layout for a production,conserver l'agencement d'un système pendant une production,plan and keep a production system layout | maintain a system for production layout | establish and maintain the system layout for a production | maintain a production system layout,,hard,other_hard,ESCO,SKL_0bb58cd89f27,,,,Establish a workable layout for the system you manage and maintain it for the duration of a production.,source
USKL_f21a1b0a2dce,set quality assurance objectives,fixer des objectifs d’assurance qualité,develop quality assurance framework | set QA objectives | set QC objectives | develop quality control framework | set QA/QC objectives | develop QC framework | set quality control objectives | develop QA framework,fixer des objectifs en matière d’assurance qualité | fixer des objectifs de contrôle de la qualité | fixer des objectifs AQ/CQ | fixer des objectifs AQ | développer un cadre d’assurance qualité | fixer des objectifs d’assurance de la qualité et de contrôle de la qualité,hard,other_hard,ESCO,SKL_c6719c43f07e,,,,"Define quality assurance targets and procedures and see to their maintenance and continued improvement by reviewing targets, protocols, supplies, processes, equipment and technologies for quality standards.",source
USKL_31e9298306ca,COBOL,COBOL,COBOL programming language | Cobol | COBOL applications | COBOL software | COBOL (Programming Language),Cobol,hard,programming_languages,ESCO | KAGGLE | LIGHTCAST | ROME,SKL_32371219d0d1 | SKL_4ed182daad69 | SKL_5846d47024c9 | SKL_9637fd334bec,,,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in COBOL.",source
USKL_ae94309a060f,operational tactics for emergency responses,tactiques opérationnelles pour les réactions aux situations d’urgence,operational strategies for emergency response | operational tactics for emergency response | proceedings for emergency responses | operational tactic for emergency response | operational tactics for major incidents and catastrophes,,hard,knowledge_general,ESCO,SKL_60b13581782d,,,,The characteristics and proceedings of operational tactics for emergency responses especially at major incidents and catastrophes.,source
USKL_3e2d7d938672,database development tools,outils de développement de bases de données,Microcontrollers,microcontrôleurs,hard,data_databases,ESCO,SKL_f18769bf13e8,,,,"The methodologies and tools used for creating logical and physical structure of databases, such as logical data structures, diagrams, modelling methodologies and entity-relationships.",source
USKL_21d097652127,develop blockchain innovative architectures,développer des architectures innovantes dans le domaine de la technologie de la blockchain,build innovative blockchain architectures,construire des architectures blockchain innovantes,hard,emerging_tech,ESCO,SKL_0bdc80704838,,,,Develop new blockchain architectures that address properties and priorities as they are needed by specific applications. Argue the advantages and shortcomings of such new architectures with respect to existing ones.,source
USKL_0dd1567acc71,model hardware,modéliser du matériel informatique,simulate computer hardware | model computer hardware | computer hardware modelling | modelling hardware | hardware simulating | simulating computer hardware | computer hardware simulating | simulating hardware | modelling computer hardware | hardware modelling,,hard,hardware_embedded,ESCO,SKL_b0a17034246b,,,,Model and simulate computer hardware using technical design software. Assess the viability of the product and examine the physical parameters to ensure a successful production process.,source
USKL_06b6ad872a25,design component interfaces,concevoir des interfaces pour les composants,design and implement component interfaces,créer des widget interactifs | concevoir une interface pour un composant | concevoir des interfaces de composants | créer des interfaces pour les composants | créer des widget | concevoir des interfaces graphiques pour des composants,hard,other_hard,ESCO,SKL_ca76f7bcf69b,,,,Use methods and tools to design and program interfaces of software and system components.,source
USKL_29336840967d,GameSalad,GameSalad,GameSalad interface | GameSalad platform | GameSalad Creator,,hard,knowledge_general,ESCO,SKL_a2245f25a35a,Q4039237,https://www.wikidata.org/wiki/Q4039237,authoring tool,The drag-and-drop software interface that consists of specialised design tools used for the rapid iteration of user-derived computer games by users with limited programming knowledge.,source
USKL_b54211fb103d,de-rig electronic equipment,démonter des équipements électroniques,de-rigging electronic equipment | dismantle electronic equipment | disassemble electronic equipment | disconnect electronic equipment,,hard,other_hard,ESCO,SKL_f81a5ff0468f,,,,Remove and store various types of electronic equipment safely after use.,source
